x-axis,1,2,3
second,Volt,Volt,Volt
+123.8000E-03,+1.8125000E+00,+2.8000000E+00,+2.4250002E+00
+123.9000E-03,+2.1250000E+00,+2.3625000E+00,+2.0187502E+00
+124.0000E-03,+2.5937500E+00,+2.0812500E+00,+1.8000002E+00
+124.1000E-03,+3.0625000E+00,+1.8937500E+00,+1.8625002E+00
+124.2000E-03,+3.4687500E+00,+1.9562500E+00,+2.1437502E+00
+124.3000E-03,+3.5000000E+00,+2.2687500E+00,+2.5812502E+00
+124.4000E-03,+3.2812500E+00,+2.7062500E+00,+3.0812502E+00
+124.5000E-03,+2.8750000E+00,+3.0500000E+00,+3.3625002E+00
+124.6000E-03,+2.3750000E+00,+3.3000000E+00,+3.4562502E+00
+124.7000E-03,+1.9062500E+00,+3.3312500E+00,+3.2687502E+00
+124.8000E-03,+1.7187500E+00,+3.1750000E+00,+2.8625002E+00
+124.9000E-03,+1.8437500E+00,+2.8000000E+00,+2.3937502E+00
+125.0000E-03,+2.1562500E+00,+2.3937500E+00,+2.0500002E+00
+125.1000E-03,+2.6562500E+00,+2.0500000E+00,+1.8625002E+00
+125.2000E-03,+3.1250000E+00,+1.9250000E+00,+1.8937502E+00
+125.3000E-03,+3.4687500E+00,+2.0500000E+00,+2.2375002E+00
+125.4000E-03,+3.4687500E+00,+2.3312500E+00,+2.6750002E+00
+125.5000E-03,+3.2187500E+00,+2.7062500E+00,+3.0812502E+00
+125.6000E-03,+2.7500000E+00,+3.1125000E+00,+3.3625002E+00
+125.7000E-03,+2.2812500E+00,+3.3312500E+00,+3.3937502E+00
+125.8000E-03,+1.8750000E+00,+3.3000000E+00,+3.2062502E+00
+125.9000E-03,+1.7187500E+00,+3.0812500E+00,+2.7687502E+00
+126.0000E-03,+1.8750000E+00,+2.7062500E+00,+2.3312502E+00
+126.1000E-03,+2.2812500E+00,+2.3000000E+00,+2.0187502E+00
+126.2000E-03,+2.8125000E+00,+2.0500000E+00,+1.8625002E+00
+126.3000E-03,+3.2812500E+00,+1.9562500E+00,+2.0187502E+00
